date,type,month
2026-03-10 22:34:07,comment,2026-03
2026-03-10 21:52:28,comment,2026-03
2026-03-10 21:51:57,comment,2026-03
2026-03-10 13:49:12,comment,2026-03
2026-03-10 12:35:11,comment,2026-03
2026-03-10 12:34:37,comment,2026-03
2026-03-10 06:11:10,comment,2026-03
2026-03-10 06:09:53,comment,2026-03
2026-03-10 01:51:00,comment,2026-03
2026-03-10 00:44:13,comment,2026-03
2026-03-10 00:24:03,comment,2026-03
2026-03-09 23:46:52,comment,2026-03
2026-03-09 23:24:01,comment,2026-03
2026-03-09 23:23:48,comment,2026-03
2026-03-09 22:46:18,comment,2026-03
2026-03-09 22:46:18,comment,2026-03
2026-03-09 22:33:57,comment,2026-03
2026-03-09 22:33:51,comment,2026-03
2026-03-09 21:59:04,comment,2026-03
2026-03-09 06:30:43,comment,2026-03
2026-03-06 22:53:50,comment,2026-03
2026-03-05 06:11:23,comment,2026-03
2026-03-05 06:10:58,comment,2026-03
2026-03-05 06:10:28,comment,2026-03
2026-03-05 00:16:39,comment,2026-03
2026-03-05 00:14:45,comment,2026-03
2026-03-04 19:09:58,comment,2026-03
2026-03-04 19:06:42,comment,2026-03
2026-03-04 16:54:21,comment,2026-03
2026-03-04 15:38:47,comment,2026-03
2026-03-04 11:47:31,comment,2026-03
2026-03-04 11:47:09,comment,2026-03
2026-03-04 07:10:05,comment,2026-03
2026-03-04 06:21:30,comment,2026-03
2026-03-04 06:21:07,comment,2026-03
2026-03-04 06:06:03,comment,2026-03
2026-03-04 06:05:20,comment,2026-03
2026-03-04 06:04:25,comment,2026-03
2026-03-04 06:04:13,comment,2026-03
2026-03-04 01:49:03,comment,2026-03
2026-03-04 01:16:35,comment,2026-03
2026-03-04 00:35:22,comment,2026-03
2026-03-04 00:35:14,comment,2026-03
2026-03-04 00:00:15,comment,2026-03
2026-03-03 23:34:37,comment,2026-03
2026-03-03 23:32:58,comment,2026-03
2026-03-03 23:19:34,comment,2026-03
2026-03-03 23:08:50,comment,2026-03
2026-03-03 23:05:40,comment,2026-03
2026-03-03 22:53:14,comment,2026-03
2026-03-03 22:47:37,comment,2026-03
2026-03-03 22:44:08,comment,2026-03
2026-03-03 22:42:54,comment,2026-03
2026-03-03 22:42:19,comment,2026-03
2026-03-03 22:39:27,comment,2026-03
2026-03-03 22:38:58,comment,2026-03
2026-03-03 22:38:53,comment,2026-03
2026-03-03 22:37:11,comment,2026-03
2026-03-03 15:53:38,comment,2026-03
2026-03-01 16:34:22,comment,2026-03
2026-02-26 17:56:24,comment,2026-02
2026-02-26 16:42:51,comment,2026-02
2026-02-26 14:57:57,comment,2026-02
2026-02-26 09:35:12,comment,2026-02
2026-02-26 01:34:29,comment,2026-02
2026-02-26 01:00:07,comment,2026-02
2026-02-26 00:34:33,comment,2026-02
2026-02-26 00:34:08,comment,2026-02
2026-02-26 00:34:02,comment,2026-02
2026-02-26 00:32:22,comment,2026-02
2026-02-26 00:32:02,comment,2026-02
2026-02-25 22:32:56,comment,2026-02
2026-02-25 21:53:26,comment,2026-02
2026-02-25 21:30:29,comment,2026-02
2026-02-25 21:30:18,comment,2026-02
2026-02-25 21:15:22,comment,2026-02
2026-02-25 21:14:45,comment,2026-02
2026-02-25 20:19:25,comment,2026-02
2026-02-25 20:13:52,comment,2026-02
2026-02-25 20:13:46,comment,2026-02
2026-02-25 19:23:51,comment,2026-02
2026-02-23 21:03:50,comment,2026-02
2026-02-23 20:10:58,comment,2026-02
2026-02-23 17:45:51,comment,2026-02
2026-02-23 00:43:54,comment,2026-02
2026-02-22 22:27:41,comment,2026-02
2026-02-22 15:07:06,comment,2026-02
2026-02-21 16:18:35,comment,2026-02
2026-02-21 16:14:28,comment,2026-02
2026-02-21 12:40:02,comment,2026-02
2026-02-21 06:05:35,comment,2026-02
2026-02-21 01:16:27,comment,2026-02
2026-02-21 01:14:14,comment,2026-02
2026-02-21 00:23:21,comment,2026-02
2026-02-21 00:07:07,comment,2026-02
2026-02-20 23:08:31,comment,2026-02
2026-02-20 23:07:01,comment,2026-02
2026-02-20 22:54:58,comment,2026-02
2026-02-20 22:54:51,comment,2026-02
2026-02-20 06:16:33,comment,2026-02
2026-02-20 00:07:40,comment,2026-02
2026-02-19 21:36:34,comment,2026-02
2026-02-19 20:08:29,comment,2026-02
2026-02-19 20:07:58,comment,2026-02
2026-02-19 17:33:24,comment,2026-02
2026-02-19 13:19:02,comment,2026-02
2026-02-19 11:24:54,comment,2026-02
2026-02-19 11:02:43,comment,2026-02
2026-02-19 09:24:19,comment,2026-02
2026-02-19 09:24:08,comment,2026-02
2026-02-19 07:49:22,comment,2026-02
2026-02-19 07:21:21,comment,2026-02
2026-02-19 07:21:13,comment,2026-02
2026-02-19 07:14:24,comment,2026-02
2026-02-19 06:58:14,comment,2026-02
2026-02-19 06:58:03,comment,2026-02
2026-02-19 06:57:27,comment,2026-02
2026-02-19 06:57:14,comment,2026-02
2026-02-19 06:27:43,comment,2026-02
2026-02-18 09:51:56,comment,2026-02
2026-02-17 19:28:17,comment,2026-02
2026-02-17 17:22:05,comment,2026-02
2026-02-17 13:19:16,comment,2026-02
2026-02-17 11:57:54,comment,2026-02
2026-02-17 09:55:38,comment,2026-02
2026-02-17 06:54:48,comment,2026-02
2026-02-17 02:12:26,comment,2026-02
2026-02-16 23:31:07,comment,2026-02
2026-02-16 23:29:30,comment,2026-02
2026-02-16 23:26:21,comment,2026-02
2026-02-16 23:08:16,comment,2026-02
2026-02-16 23:07:04,comment,2026-02
2026-02-16 23:06:47,comment,2026-02
2026-02-16 22:46:46,comment,2026-02
2026-02-16 22:46:19,comment,2026-02
2026-02-16 22:37:16,comment,2026-02
2026-02-15 20:04:22,comment,2026-02
2026-02-15 19:51:38,comment,2026-02
2026-02-15 06:53:52,comment,2026-02
2026-02-14 23:06:49,comment,2026-02
2026-02-14 22:45:29,comment,2026-02
2026-02-13 22:34:04,comment,2026-02
2026-02-13 07:43:12,comment,2026-02
2026-02-13 07:25:52,comment,2026-02
2026-02-12 23:47:48,comment,2026-02
2026-02-12 22:45:24,comment,2026-02
2026-02-12 20:39:43,comment,2026-02
2026-02-12 17:45:47,comment,2026-02
2026-02-12 17:36:27,comment,2026-02
2026-02-12 16:34:42,comment,2026-02
2026-02-12 16:34:23,comment,2026-02
2026-02-12 15:52:36,comment,2026-02
2026-02-12 15:41:20,comment,2026-02
2026-02-12 15:37:44,comment,2026-02
2026-02-12 10:48:16,comment,2026-02
2026-02-11 15:05:25,comment,2026-02
2026-02-10 18:18:35,comment,2026-02
2026-02-10 15:58:16,comment,2026-02
2026-01-30 02:07:20,comment,2026-01
2026-01-29 16:56:44,comment,2026-01
2026-01-29 16:55:53,comment,2026-01
2026-01-29 15:27:04,comment,2026-01
2026-01-29 15:13:43,comment,2026-01
2026-01-29 15:12:07,comment,2026-01
2026-01-29 15:02:19,comment,2026-01
2026-01-29 14:44:08,comment,2026-01
2026-01-29 14:43:00,comment,2026-01
2026-01-29 14:12:19,comment,2026-01
2026-01-29 13:58:50,comment,2026-01
2026-01-24 20:32:04,comment,2026-01
2026-01-24 20:31:46,comment,2026-01
2026-01-24 00:48:04,comment,2026-01
2026-01-24 00:15:29,comment,2026-01
2026-01-23 23:18:05,comment,2026-01
2026-01-23 23:17:52,comment,2026-01
2026-01-23 23:17:42,comment,2026-01
2026-01-23 22:35:58,comment,2026-01
2026-01-23 22:17:19,comment,2026-01
2026-01-23 22:15:52,comment,2026-01
2026-01-23 22:13:57,comment,2026-01
2026-01-23 22:12:36,comment,2026-01
2026-01-23 21:40:11,comment,2026-01
2026-01-23 21:39:09,comment,2026-01
2026-01-23 21:35:10,comment,2026-01
2026-01-23 21:34:58,comment,2026-01
2026-01-22 15:30:15,comment,2026-01
2026-01-22 12:28:03,comment,2026-01
2026-01-21 23:25:03,comment,2026-01
2026-01-21 21:28:58,comment,2026-01
2026-01-21 19:21:49,comment,2026-01
2026-01-21 19:20:27,comment,2026-01
2026-01-21 18:41:20,comment,2026-01
2026-01-21 18:41:08,comment,2026-01
2026-01-21 18:40:55,comment,2026-01
2026-01-21 15:00:05,comment,2026-01
2026-01-21 14:53:56,comment,2026-01
2026-01-21 14:48:09,comment,2026-01
2026-01-21 14:09:59,comment,2026-01
2026-01-21 14:09:43,comment,2026-01
2026-01-21 14:09:14,comment,2026-01
2026-01-21 14:08:49,comment,2026-01
2026-01-21 13:38:30,comment,2026-01
2026-01-21 13:20:37,comment,2026-01
2026-01-21 13:20:30,comment,2026-01
2026-01-21 13:20:25,comment,2026-01
2026-01-19 21:52:57,comment,2026-01
2026-01-19 19:01:12,comment,2026-01
2026-01-19 19:01:06,comment,2026-01
2026-01-19 16:41:16,comment,2026-01
2026-01-18 17:08:44,comment,2026-01
2026-01-18 14:25:24,comment,2026-01
2026-01-17 21:56:05,comment,2026-01
2026-01-17 21:55:19,comment,2026-01
2026-01-17 19:37:54,comment,2026-01
2026-01-17 18:02:24,comment,2026-01
2026-01-17 16:56:26,comment,2026-01
2026-01-17 15:23:07,comment,2026-01
2026-01-17 13:34:47,comment,2026-01
2026-01-17 11:49:51,comment,2026-01
2026-01-17 11:49:24,comment,2026-01
2026-01-17 11:36:19,comment,2026-01
2026-01-17 01:17:18,comment,2026-01
2026-01-17 00:28:41,comment,2026-01
2026-01-16 23:32:22,comment,2026-01
2026-01-16 23:29:42,comment,2026-01
2026-01-16 23:27:27,comment,2026-01
2026-01-16 23:27:21,comment,2026-01
2026-01-16 23:25:03,comment,2026-01
2026-01-16 23:04:38,comment,2026-01
2026-01-16 22:49:27,comment,2026-01
2026-01-16 22:48:13,comment,2026-01
2026-01-16 22:46:35,comment,2026-01
2026-01-16 22:44:08,comment,2026-01
2026-01-16 22:43:56,comment,2026-01
2026-01-16 22:25:40,comment,2026-01
2026-01-16 22:25:22,comment,2026-01
2026-01-16 22:24:29,comment,2026-01
2026-01-16 22:24:12,comment,2026-01
2026-01-15 14:10:43,comment,2026-01
2026-01-15 10:43:38,comment,2026-01
2026-01-15 06:24:13,comment,2026-01
2026-01-15 06:23:35,comment,2026-01
2026-01-15 00:33:19,comment,2026-01
2026-01-14 22:49:50,comment,2026-01
2026-01-14 13:40:38,comment,2026-01
2026-01-14 09:55:57,comment,2026-01
2026-01-14 02:15:19,comment,2026-01
2026-01-13 19:28:04,comment,2026-01
2026-01-13 13:46:23,comment,2026-01
2026-01-13 12:30:04,comment,2026-01
2026-01-12 19:29:42,comment,2026-01
2026-01-12 15:41:20,comment,2026-01
2026-01-12 14:29:20,comment,2026-01
2026-01-12 12:27:24,comment,2026-01
2026-01-12 11:37:33,comment,2026-01
2026-01-12 11:37:14,comment,2026-01
2026-01-12 10:50:25,comment,2026-01
2026-01-12 10:50:15,comment,2026-01
2026-01-12 06:49:21,comment,2026-01
2026-01-12 06:48:06,comment,2026-01
2026-01-12 00:18:55,comment,2026-01
2026-01-11 23:27:56,comment,2026-01
2026-01-11 23:27:31,comment,2026-01
2026-01-11 23:09:40,comment,2026-01
2026-01-11 23:09:11,comment,2026-01
2026-01-11 22:58:19,comment,2026-01
2026-01-11 22:52:05,comment,2026-01
2026-01-11 22:51:55,comment,2026-01
2026-01-11 22:51:22,comment,2026-01
2026-01-11 22:51:08,comment,2026-01
2026-01-10 22:25:32,comment,2026-01
2026-01-10 22:25:21,comment,2026-01
2026-01-09 08:37:28,comment,2026-01
2026-01-08 16:22:00,comment,2026-01
2026-01-07 15:40:25,comment,2026-01
2026-01-07 15:27:26,comment,2026-01
2026-01-05 00:23:23,comment,2026-01
2026-01-04 16:58:24,comment,2026-01
2026-01-03 11:13:46,comment,2026-01
2026-01-03 01:23:10,comment,2026-01
2026-01-02 06:54:46,comment,2026-01
2026-01-01 22:26:05,comment,2026-01
2026-01-01 22:25:58,comment,2026-01
2026-01-01 15:47:54,comment,2026-01
2026-01-01 14:50:27,comment,2026-01
2026-01-01 11:56:28,comment,2026-01
2026-01-01 11:55:56,comment,2026-01
2026-01-01 07:02:42,comment,2026-01
2026-01-01 00:22:32,comment,2026-01
2025-12-31 21:49:51,comment,2025-12
2025-12-31 21:30:22,comment,2025-12
2025-12-31 21:30:17,comment,2025-12
2025-12-31 20:03:19,comment,2025-12
2025-12-31 19:58:27,comment,2025-12
2025-12-31 19:08:19,comment,2025-12
2025-12-31 19:05:47,comment,2025-12
2025-12-31 17:46:27,comment,2025-12
2025-12-31 17:46:21,comment,2025-12
2025-12-31 17:38:18,comment,2025-12
2025-12-31 17:29:29,comment,2025-12
2025-12-31 17:29:11,comment,2025-12
2025-12-31 17:28:04,comment,2025-12
2025-12-31 17:27:51,comment,2025-12
2025-12-31 17:10:38,comment,2025-12
2025-12-31 17:08:06,comment,2025-12
2025-12-31 17:08:01,comment,2025-12
2025-12-31 17:02:13,comment,2025-12
2025-12-31 17:01:56,comment,2025-12
2025-12-31 16:58:32,comment,2025-12
2025-12-31 16:58:17,comment,2025-12
2025-12-31 16:40:00,comment,2025-12
2025-12-30 20:18:49,comment,2025-12
2025-12-30 15:29:14,comment,2025-12
2025-12-30 00:02:29,comment,2025-12
2025-12-29 23:03:29,comment,2025-12
2025-12-29 22:05:31,comment,2025-12
2025-12-29 22:00:56,comment,2025-12
2025-12-29 22:00:44,comment,2025-12
2025-12-29 21:59:08,comment,2025-12
2025-12-29 21:58:32,comment,2025-12
2025-12-29 21:30:26,comment,2025-12
2025-12-29 21:24:16,comment,2025-12
2025-12-29 21:18:28,comment,2025-12
2025-12-29 16:59:59,comment,2025-12
2025-12-29 11:09:27,comment,2025-12
2025-12-28 01:38:22,comment,2025-12
2025-12-26 11:25:21,comment,2025-12
2025-12-26 06:33:06,comment,2025-12
2025-12-25 23:52:07,comment,2025-12
2025-12-25 22:27:08,comment,2025-12
2025-12-25 22:26:58,comment,2025-12
2025-12-24 15:32:44,comment,2025-12
2025-12-23 21:30:34,comment,2025-12
2025-12-22 14:26:51,comment,2025-12
2025-12-22 06:21:43,comment,2025-12
2025-12-21 23:57:29,comment,2025-12
2025-12-20 23:25:02,comment,2025-12
2025-12-20 01:03:46,comment,2025-12
2025-12-20 00:58:59,comment,2025-12
2025-12-19 18:15:42,comment,2025-12
2025-12-19 09:49:06,comment,2025-12
2025-12-18 19:27:31,comment,2025-12
2025-12-18 17:19:28,comment,2025-12
2025-12-18 15:38:32,comment,2025-12
2025-12-18 15:24:59,comment,2025-12
2025-12-18 14:49:40,comment,2025-12
2025-12-18 14:11:38,comment,2025-12
2025-12-18 13:32:28,comment,2025-12
2025-12-18 12:51:20,comment,2025-12
2025-12-18 12:41:45,comment,2025-12
2025-12-18 12:40:00,comment,2025-12
2025-12-18 12:39:51,comment,2025-12
2025-12-18 12:36:28,comment,2025-12
2025-12-18 12:09:30,comment,2025-12
2025-12-17 17:17:47,comment,2025-12
2025-12-17 15:28:24,comment,2025-12
2025-12-17 14:54:06,comment,2025-12
2025-12-17 13:20:30,comment,2025-12
2025-12-17 12:01:48,comment,2025-12
2025-12-17 12:01:19,comment,2025-12
2025-12-17 11:10:13,comment,2025-12
2025-12-17 11:08:11,comment,2025-12
2025-12-17 00:20:21,comment,2025-12
2025-12-16 23:41:12,comment,2025-12
2025-12-16 23:24:24,comment,2025-12
2025-12-16 22:38:59,comment,2025-12
2025-12-16 22:00:07,comment,2025-12
2025-12-16 21:14:25,comment,2025-12
2025-12-16 20:13:05,comment,2025-12
2025-12-16 14:56:10,comment,2025-12
2025-12-16 14:54:40,comment,2025-12
2025-12-16 13:00:48,comment,2025-12
2025-12-16 12:23:09,comment,2025-12
2025-12-16 11:54:07,comment,2025-12
2025-12-16 11:00:55,comment,2025-12
2025-12-16 09:28:42,comment,2025-12
2025-12-16 07:01:07,comment,2025-12
2025-12-16 07:00:06,comment,2025-12
2025-12-16 01:32:13,comment,2025-12
2025-12-16 00:30:16,comment,2025-12
2025-12-15 23:22:17,comment,2025-12
2025-12-15 23:05:27,comment,2025-12
2025-12-15 22:21:31,comment,2025-12
2025-12-15 22:02:57,comment,2025-12
2025-12-15 22:02:38,comment,2025-12
2025-12-15 20:45:05,comment,2025-12
2025-12-15 20:29:35,comment,2025-12
2025-12-15 20:29:26,comment,2025-12
2025-12-15 20:22:44,comment,2025-12
2025-12-15 19:28:03,comment,2025-12
2025-12-15 18:22:56,comment,2025-12
2025-12-15 17:56:20,comment,2025-12
2025-12-15 17:48:13,comment,2025-12
2025-12-15 17:47:39,comment,2025-12
2025-12-15 17:47:33,comment,2025-12
2025-12-15 17:47:17,comment,2025-12
2025-12-15 17:47:07,comment,2025-12
2025-12-15 17:46:30,comment,2025-12
2025-12-15 17:46:04,comment,2025-12
2025-12-15 16:53:54,comment,2025-12
2025-12-15 16:53:28,comment,2025-12
2025-12-15 16:45:31,comment,2025-12
2025-12-15 16:44:55,comment,2025-12
2025-12-15 16:44:46,comment,2025-12
2025-12-14 12:58:59,comment,2025-12
2025-12-14 12:58:52,comment,2025-12
2025-12-14 12:58:12,comment,2025-12
2025-12-13 11:23:19,comment,2025-12
2025-12-11 01:07:16,comment,2025-12
2025-12-11 00:42:13,comment,2025-12
2025-12-11 00:40:25,comment,2025-12
2025-12-10 23:02:04,comment,2025-12
2025-12-10 21:05:00,comment,2025-12
2025-12-10 18:48:09,comment,2025-12
2025-12-10 18:42:58,comment,2025-12
2025-12-10 18:21:41,comment,2025-12
2025-12-10 17:53:42,comment,2025-12
2025-12-10 17:07:38,comment,2025-12
